"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Hotelling's Law.nlogox"
"Baseline"
"05/15/2026 17:14:53:642 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","layout","number-of-stores","rules","[step]","ticks","store-positions","store-market-shares","store-prices"
"86","plane","3","moving-only","10","10","[[1 4 -13] [2 12 10] [0 -10 3]]","[[1 558] [2 473] [0 650]]","[[1 10] [2 10] [0 10]]"
"88","plane","3","moving-only","10","10","[[0 -15 7] [1 8 -3] [2 4 -1]]","[[0 563] [1 562] [2 556]]","[[0 10] [1 10] [2 10]]"
"92","plane","3","moving-only","10","10","[[2 -8 17] [0 -7 -9] [1 -8 5]]","[[2 391] [0 780] [1 510]]","[[2 10] [0 10] [1 10]]"
"94","plane","3","moving-only","10","10","[[0 -7 -10] [2 -7 7] [1 16 11]]","[[0 669] [2 548] [1 464]]","[[0 10] [2 10] [1 10]]"
"93","plane","3","moving-only","10","10","[[0 -11 -7] [1 3 -7] [2 0 -14]]","[[0 632] [1 828] [2 221]]","[[0 10] [1 10] [2 10]]"
"91","plane","3","moving-only","10","10","[[0 9 5] [2 0 1] [1 -18 8]]","[[0 601] [2 680] [1 400]]","[[0 10] [2 10] [1 10]]"
"97","plane","3","moving-only","10","10","[[0 -3 -8] [1 4 10] [2 0 2]]","[[0 699] [1 554] [2 428]]","[[0 10] [1 10] [2 10]]"
"95","plane","3","moving-only","10","10","[[0 10 8] [1 1 -10] [2 -6 1]]","[[0 503] [1 570] [2 608]]","[[0 10] [1 10] [2 10]]"
"99","plane","3","moving-only","10","10","[[1 -4 -9] [2 -1 0] [0 0 2]]","[[1 622] [2 249] [0 810]]","[[1 10] [2 10] [0 10]]"
"98","plane","3","moving-only","10","10","[[2 2 -2] [0 -9 9] [1 6 -4]]","[[2 486] [0 581] [1 614]]","[[2 10] [0 10] [1 10]]"
"101","plane","3","pricing-only","10","10","[[1 -3 -11] [0 -14 1] [2 -19 -9]]","[[1 796] [0 696] [2 189]]","[[1 14] [0 13] [2 11]]"
"102","plane","3","pricing-only","10","10","[[1 -5 -15] [2 -2 -18] [0 -8 8]]","[[1 706] [2 394] [0 581]]","[[1 3] [2 3] [0 14]]"
"100","plane","3","moving-only","10","10","[[1 7 5] [2 4 1] [0 -2 12]]","[[1 343] [2 836] [0 502]]","[[1 10] [2 10] [0 10]]"
"96","plane","3","moving-only","10","10","[[1 9 9] [2 11 10] [0 10 -9]]","[[1 642] [2 220] [0 819]]","[[1 10] [2 10] [0 10]]"
"103","plane","3","pricing-only","10","10","[[0 -8 -6] [2 -11 -8] [1 14 10]]","[[0 1081] [2 300] [1 300]]","[[0 3] [2 3] [1 16]]"
"104","plane","3","pricing-only","10","10","[[0 -13 11] [1 -15 -15] [2 11 -8]]","[[0 561] [1 377] [2 743]]","[[0 20] [1 18] [2 20]]"
"105","plane","3","pricing-only","10","10","[[2 -17 7] [1 -19 -12] [0 2 6]]","[[2 421] [1 387] [0 873]]","[[2 14] [1 16] [0 20]]"
"106","plane","3","pricing-only","10","10","[[1 20 -16] [0 14 -10] [2 18 16]]","[[1 261] [0 987] [2 433]]","[[1 2] [0 7] [2 12]]"
"107","plane","3","pricing-only","10","10","[[0 19 16] [2 12 20] [1 5 -6]]","[[0 443] [2 426] [1 812]]","[[0 5] [2 9] [1 19]]"
"109","plane","3","pricing-only","10","10","[[1 17 -4] [2 -7 15] [0 -10 -2]]","[[1 568] [2 507] [0 606]]","[[1 19] [2 17] [0 19]]"
"111","plane","3","pricing-only","10","10","[[0 12 -4] [1 -14 7] [2 11 -9]]","[[0 579] [1 481] [2 621]]","[[0 10] [1 18] [2 9]]"
"112","plane","3","pricing-only","10","10","[[1 10 3] [2 -17 -5] [0 -13 -1]]","[[1 550] [2 464] [0 667]]","[[1 16] [2 3] [0 5]]"
"110","plane","3","pricing-only","10","10","[[1 -8 7] [0 -18 10] [2 19 12]]","[[1 795] [0 433] [2 453]]","[[1 10] [0 6] [2 13]]"
"113","plane","3","pricing-only","10","10","[[1 17 -19] [2 -20 -1] [0 9 -7]]","[[1 326] [2 508] [0 847]]","[[1 7] [2 19] [0 14]]"
"115","plane","3","pricing-only","10","10","[[2 17 -17] [1 -7 2] [0 -8 14]]","[[2 368] [1 736] [0 577]]","[[2 15] [1 13] [0 11]]"
"116","plane","3","pricing-only","10","10","[[1 -2 -12] [0 -18 -1] [2 -1 12]]","[[1 574] [0 459] [2 648]]","[[1 19] [0 14] [2 18]]"
"114","plane","3","pricing-only","10","10","[[1 -10 -5] [2 15 5] [0 15 2]]","[[1 570] [2 559] [0 552]]","[[1 16] [2 5] [0 5]]"
"118","plane","3","pricing-only","10","10","[[0 -15 0] [2 -15 20] [1 3 -5]]","[[0 538] [2 380] [1 763]]","[[0 14] [2 13] [1 20]]"
"117","plane","3","pricing-only","10","10","[[0 -18 5] [1 13 -9] [2 10 -19]]","[[0 516] [1 711] [2 454]]","[[0 20] [1 13] [2 10]]"
"120","plane","3","pricing-only","10","10","[[2 -19 19] [1 -20 11] [0 -10 -10]]","[[2 436] [1 529] [0 716]]","[[2 3] [1 4] [0 15]]"
"119","plane","3","pricing-only","10","10","[[1 -3 -13] [2 4 -12] [0 7 -5]]","[[1 483] [2 616] [0 582]]","[[1 6] [2 3] [0 8]]"
"108","plane","3","pricing-only","10","10","[[0 0 -7] [1 0 -10] [2 18 12]]","[[0 796] [1 646] [2 239]]","[[0 5] [1 4] [2 14]]"
"121","plane","4","normal","10","10","[[1 2 -7] [0 5 3] [2 -1 7] [3 14 6]]","[[1 513] [0 418] [2 507] [3 243]]","[[1 8] [0 3] [2 6] [3 6]]"
"126","plane","4","normal","10","10","[[0 1 2] [3 -7 3] [2 11 -11] [1 -8 -6]]","[[0 547] [3 486] [2 327] [1 321]]","[[0 10] [3 9] [2 14] [1 13]]"
"122","plane","4","normal","10","10","[[2 -4 -15] [3 -1 -1] [0 -18 -2] [1 -6 -4]]","[[2 289] [3 697] [0 233] [1 462]]","[[2 6] [3 5] [0 5] [1 2]]"
"123","plane","4","normal","10","10","[[3 5 12] [0 -3 6] [2 2 -8] [1 8 -6]]","[[3 330] [0 441] [2 511] [1 399]]","[[3 13] [0 13] [2 10] [1 10]]"
"124","plane","4","normal","10","10","[[0 3 6] [1 -11 9] [3 -7 -9] [2 9 1]]","[[0 530] [1 338] [3 369] [2 444]]","[[0 9] [1 13] [3 17] [2 12]]"
"125","plane","4","normal","10","10","[[1 -9 8] [3 10 1] [2 -3 -5] [0 -11 -14]]","[[1 348] [3 414] [2 676] [0 243]]","[[1 14] [3 14] [2 7] [0 9]]"
"127","plane","4","normal","10","10","[[3 4 -6] [1 -6 -5] [2 -5 3] [0 9 12]]","[[3 474] [1 457] [2 420] [0 330]]","[[3 14] [1 12] [2 14] [0 17]]"
"131","plane","4","normal","10","10","[[2 1 -4] [3 -6 9] [0 -1 -9] [1 9 8]]","[[2 678] [3 329] [0 384] [1 290]]","[[2 5] [3 13] [0 7] [1 13]]"
